Directors,Stars
"Hiroshi Haraguchi, Masayuki, Kazuya Tsurumaki","Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi"
Kiyoshi Kurosawa,"Teruyuki Kagawa, Kyôko Koizumi, Yû Koyanagi"
Roy Andersson,"Lars Nordh, Stefan Larsson, Bengt C.W. Carlsson"
"Pritam Chakraborty, Kabir Khan, Amit Mishra","Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin"
Ingmar Bergman,"Max von Sydow, Liv Ullmann, Gertrud Fridh"
François Ozon,"Pierre Niney, Paula Beer, Ernst Stötzner"
Boaz Yakin,"Sean Nelson, Giancarlo Esposito, Samuel L. Jackson"
Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao"
Rainer Werner Fassbinder,"Margit Carstensen, Hanna Schygulla, Katrin Schaake"
Fred Zinnemann,"Audrey Hepburn, Peter Finch, Edith Evans"
Karan Johar,"Shah Rukh Khan, Kajol, Rani Mukerji"
Ronald Neame,"Albert Finney, Alec Guinness, Edith Evans"
Lars von Trier,"Barbara Sukowa, Jean-Marc Barr, Udo Kier"
Zoltan Korda,"Humphrey Bogart, Bruce Bennett, J. Carrol Naish"
Emin Alper,"Selahattin Pasali, Ekin Koç, Erol Babaoglu"
Luc Jacquet,"Morgan Freeman, Romane Bohringer, Charles Berling"
Yuen Woo-Ping,"Rongguang Yu, Donnie Yen, Jean Wang"
Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity G Zinta"
"Michael Arias, Hiroaki Andô","Kazunari Ninomiya, Yû Aoi, Yûsuke Iseya"
Susanne Bier,"Sonja Richter, Nikolaj Lie Kaas, Mads Mikkelsen"
Claude Chabrol,"Isabelle Huppert, Sandrine Bonnaire, Jacqueline Bisset"
Brett Morgen,"Kurt Cobain, Wendy O'Connor, Don Cobain"
Gordon Chan,"Jet Li, Shinobu Nakayama, Siu-Ho Chin"
R Balki,"Amitabh Bachchan, Shabana Azmi, Angad Bedi"
Susanne Bier,"Ulrich Thomsen, Nikolaj Lie Kaas, Connie Nielsen"
Takeshi Kitano,"Takeshi Kitano, Aya Kokumai, Tetsu Watanabe"
Richard Fleischer,"Richard Attenborough, Judy Geeson, John Hurt"
Götz Spielmann,"Johannes Krisch, Irina Potapenko, Andreas Lust"
Jules Dassin,"Burt Lancaster, Hume Cronyn, Charles Bickford"
Ryûsuke Hamaguchi,"Kotone Furukawa, Ayumu Nakajima, Hyunri"
Sanjay Leela Bhansali,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit"
Michael Herbig,"Friedrich Mücke, Karoline Schuch, David Kross"
Charles Crichton,"Alec Guinness, Stanley Holloway, Sidney James"
Keishi Otomo,"Takeru Satoh, Tatsuya Fujiwara, Emi Takei"
Stefan Ruzowitzky,"Karl Markovics, August Diehl, Devid Striesow"
Jean-François Richet,"Vincent Cassel, Cécile de France, Gérard Depardieu"
Aki Kaurismäki,"Kati Outinen, Elina Salo, Esko Nikkari"
Keishi Otomo,"Takeru Satoh, Emi Takei, Tatsuya Fujiwara"
Haifaa Al-Mansour,"Waad Mohammed, Reem Abdullah, Abdullrahman Al Gohani"
Woody Allen,"Woody Allen, Mia Farrow, Sydney Pollack"
Agnieszka Holland,"Solomon Perel, Marco Hofschneider, René Hofschneider"
Sooraj R. Barjatya,"Madhuri Dixit, Salman Khan, Mohnish Behl"
Giddens Ko,"Kai Ko, Michelle Chen, Shao-Wen Hao"
Éric Rohmer,"Jean-Claude Brialy, Aurora Cornu, Béatrice Romand"
John Woo,"Tony Leung Chiu-wai, Jacky Cheung, Waise Lee"
Petter Næss,"Per Christian Ellefsen, Sven Nordin, Marit Pia Jacobsen"
R Balki,"Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol"
Kay Pollak,"Michael Nyqvist, Frida Hallgren, Helen Sjöholm"
Gustavo Taretto,"Javier Drolas, Miguel Dedovich, Pilar López de Ayala"
Alper Caglar,"Caglar Ertugrul, Ufuk Bayraktar, Firat Dogruloglu"
Hany Abu-Assad,"Adam Bakri, Leem Lubany, Eyad Hourani"
Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao"
Lee Chang-dong,"Jeon Do-yeon, Song Kang-ho, Lee Dong-yong"
"Sergei Eisenstein, Dmitriy Vasilev","Nikolay Cherkasov, Nikolai Okhlopkov, Andrei Abrikosov"
Gilles Paquet-Brenner,"Kristin Scott Thomas, Mélusine Mayance, Niels Arestrup"
Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood"
John Woo,"Tony Leung Chiu-wai, Takeshi Kaneshiro, Fengyi Zhang"
David Miller,"Kirk Douglas, Gena Rowlands, Walter Matthau"
Thomas Vinterberg,"Gustav Fischer Kjærulff, Sebastian Bull, Mads Broe Andersen"
Archie Mayo,"Leslie Howard, Humphrey Bogart, Bette Davis"
Álvaro Brechner,"Antonio de la Torre, Chino Darín, Alfonso Tort"
Ian MacNaughton,"John Cleese, Michael Palin, Graham Chapman"
Giuseppe Tornatore,"Gérard Depardieu, Roman Polanski, Sergio Rubini"
William Wyler,"Bette Davis, Herbert Marshall, James Stephenson"
Laurent Cantet,"François Bégaudeau, Agame Malembo-Emene, Angélica Sancio"
George Stevens,"Fred Astaire, Ginger Rogers, Victor Moore"
Caroline Link,"Juliane Köhler, Merab Ninidze, Matthias Habich"
Radu Mihaileanu,"Aleksei Guskov, Mélanie Laurent, Dmitriy Nazarov"
William Wyler,"Humphrey Bogart, Fredric March, Arthur Kennedy"
Michael Moore,"Michael Moore, Roger B. Smith, Rhonda Britton"
Sam Wood,"Groucho Marx, Chico Marx, Harpo Marx"
Vikramaditya Motwane,"Rajkummar Rao, Geetanjali Thapa, Shiladitya Sen"
"Ting Poo, Leo Scott","Val Kilmer, Jack Kilmer, Mercedes Kilmer"
Pablo Berger,"Maribel Verdú, Emilio Gavira, Daniel Giménez Cacho"
Patrice Leconte,"Vanessa Paradis, Daniel Auteuil, Frédéric Pfluger"
Simon Shore,"Ben Silverstone, Brad Gorton, Charlotte Brittain"
"Mariano Cohn, Gastón Duprat","Oscar Martínez, Dady Brieva, Andrea Frigerio"
Nikita Mikhalkov,"Sergey Makovetskiy, Sergey Garmash, Apti Magamaev"
Sarah Polley,"Michael Polley, John Buchan, Mark Polley"
Subhash Kapoor,"Arshad Warsi, Amrita Rao, Boman Irani"
Ingmar Bergman,"Max von Sydow, Ingrid Thulin, Gunnar Björnstrand"
Prithviraj Sukumaran,"Mohanlal, Vivek Oberoi, Manju Warrier"
Denys Arcand,"Rémy Girard, Dorothée Berryman, Stéphane Rousseau"
Atlee,"Joseph Vijay, Nithya Menen, S.J. Suryah"
Cristian Mungiu,"Cosmina Stratan, Cristina Flutur, Valeriu Andriuta"
Ken Loach,"Ian Hart, Rosana Pastor, Icíar Bollaín"
"Cristina Gallego, Ciro Guerra","Carmiña Martínez, José Acosta, Natalia Reyes"
Sukumar,"N.T. Rama Rao Jr., Rakul Preet Singh, Jagapathi Babu"
Çagan Irmak,"Farah Zeynep Abdullah, Mehmet Günsür, Kerem Bürsin"
Juliusz Machulski,"Wieslaw Michnikowski, Jerzy Stuhr, Olgierd Lukaszewicz"
"Michel Ocelot, Raymond Burlet","Doudou Gueye Thiaw, Maimouna N'Diaye, Awa Sene Sarr"
Siddharth P Malhotra,"Rani Mukerji, Rohit Saraf, Neeraj Kabi"
Preston Sturges,"Claudette Colbert, Joel McCrea, Mary Astor"
Jaco Van Dormael,"Daniel Auteuil, Pascal Duquenne, Miou-Miou"
Michael Moore,"Michael Moore, Johnny Fancelli, Christina Fancelli"
Indra Kumar,"Sanjay Dutt, Riteish Deshmukh, Arshad Warsi"
Om Raut,"Ajay Devgn, Saif Ali Khan, Sharad Kelkar"
Shimit Amin,"Ranbir Kapoor, Prem Chopra, Mukesh S. Bhatt"
Janus Metz,"Kim Birkerod, Mads Mini, Daniel Olby"
Ratnaa Sinha,"Rajkummar Rao, Kriti Kharbanda, K.K. Raina"
Jean-Marie Poiré,"Anémone, Josiane Balasko, Marie-Anne Chazel"
Sharat Katariya,"Ayushmann Khurrana, Bhumi Pednekar, Sanjay Mishra"
Alex Gibney,"Alex Gibney, Brian Keith Allen, Moazzam Begg"
Fernando León de Aranoa,"Javier Bardem, Luis Tosar, José Ángel Egido"
S. Shankar,"Rajinikanth, Shriya Saran, Suman"
Emir Kusturica,"Slavko Stimac, Natasa Tapuskovic, Vesna Trivalic"
"Donald Crisp, Buster Keaton","Buster Keaton, Kathryn McGuire, Frederick Vroom"
Philippe Falardeau,"Mohamed Fellag, Sophie Nélisse, Émilien Néron"
Norman Z. McLeod,"Groucho Marx, Chico Marx, Harpo Marx"
"Durul Taylan, Yagmur Taylan","Engin Günaydin, Binnur Kaya, Settar Tanriögen"
"Joe Berlinger, Bruce Sinofsky","James Hetfield, Kirk Hammett, Lars Ulrich"
Hitesh Bhatia,"Rishi Kapoor, Paresh Rawal, Juhi Chawla"
"Jean-Pierre Dardenne, Luc Dardenne","Olivier Gourmet, Morgan Marinne, Isabella Soupart"
Rémi Bezançon,"Jacques Gamblin, Zabou Breitman, Déborah François"
Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh, Anil George"
Rajesh A Krishnan,"Kunal Kemmu, Rasika Dugal, Vijay Raaz"
Rohit Shetty,"Ajay Devgn, Arshad Warsi, Sharman Joshi"
Chris Bell,"Chris Bell, Mike Bell, Mark Bell"
Eran Kolirin,"Sasson Gabay, Ronit Elkabetz, Saleh Bakri"
Alain Berbérian,"Chantal Lauby, Alain Chabat, Dominique Farrugia"
Sankalp Reddy,"Rana Daggubati, Kay Kay Menon, Atul Kulkarni"
Peter Thorwarth,"Oliver Korittke, Markus Knüfken, Ralf Richter"
Takeshi Kitano,"Miho Kanno, Hidetoshi Nishijima, Tatsuya Mihashi"
Serdar Akar,"Erdal Besikçioglu, Tardu Flordun, Cansu Dere"
Paul Negoescu,"Dorian Boguta, Dragos Bucur, Alexandru Papadopol"
Koratala Siva,"Mahesh Babu, Shruti Haasan, Jagapathi Babu"
Ezel Akay,"Haluk Bilginer, Beyaz, Sebnem Dönmez"
Saikiran Reddy Daida,"Srikanth, Easwari Rao, Srinivas Avasarala"
Amit Bhadana,"Amit Bhadana, Dinesh Ahlawat, Baljinder Kaur"
Edward Berger,"Ralph Fiennes, Stanley Tucci, John Lithgow"
Francis Ford Coppola,"Gary Oldman, Winona Ryder, Anthony Hopkins"
Werner Herzog,"Klaus Kinski, Isabelle Adjani, Bruno Ganz"
Robert Eggers,"Robert Pattinson, Willem Dafoe, Valeriia Karaman"
"Glenn Ficarra, John Requa","Steve Carell, Ryan Gosling, Julianne Moore"
Chad Stahelski,"Keanu Reeves, Michael Nyqvist, Alfie Allen"
Giuseppe Tornatore,"Monica Bellucci, Giuseppe Sulfaro, Luciano Federico"
Sam Raimi,"Tobey Maguire, Kirsten Dunst, Willem Dafoe"
Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson"
Felix van Groeningen,"Steve Carell, Maura Tierney, Jack Dylan Grazer"
Thea Sharrock,"Emilia Clarke, Sam Claflin, Janet McTeer"
Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr."
Hayao Miyazaki,"Soma Santoki, Masaki Suda, Kô Shibasaki"
Kathryn Bigelow,"Jessica Chastain, Joel Edgerton, Chris Pratt"
Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn"
Wes Craven,"Neve Campbell, Courteney Cox, David Arquette"
"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff"
Tom Ford,"Amy Adams, Jake Gyllenhaal, Michael Shannon"
Richard Donner,"Christopher Reeve, Margot Kidder, Gene Hackman"
Greta Gerwig,"Saoirse Ronan, Laurie Metcalf, Tracy Letts"
Dean Parisot,"Tim Allen, Sigourney Weaver, Alan Rickman"
Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice"
Ilya Naishuller,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen"
"Tom Tykwer, Lana Wachowski, Lilly Wachowski","Tom Hanks, Halle Berry, Hugh Grant"
Chad Stahelski,"Keanu Reeves, Riccardo Scamarcio, Ian McShane"
Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal"
Josh Greenbaum,"Will Ferrell, Harper Steele, Tina Fey"
"Benny Safdie, Josh Safdie","Adam Sandler, Julia Fox, Idina Menzel"
Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris"
Jeff Nichols,"Matthew McConaughey, Tye Sheridan, Jacob Lofland"
Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley"
F. Gary Gray,"Gerard Butler, Jamie Foxx, Leslie Bibb"
Chad Stahelski,"Keanu Reeves, Halle Berry, Ian McShane"
Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage"
Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg"
Anthony Minghella,"Matt Damon, Gwyneth Paltrow, Jude Law"
Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney"
Anthony Minghella,"Ralph Fiennes, Juliette Binoche, Willem Dafoe"
Todd Field,"Cate Blanchett, Noémie Merlant, Nina Hoss"
Barry Jenkins,"Mahershala Ali, Naomie Harris, Trevante Rhodes"
Irwin Winkler,"Hayden Christensen, Kevin Kline, Kristin Scott Thomas"
"Michael Spierig, Peter Spierig","Ethan Hawke, Sarah Snook, Noah Taylor"
"Andrew Adamson, Kelly Asbury, Conrad Vernon","Mike Myers, Eddie Murphy, Cameron Diaz"
Max Barbakow,"Andy Samberg, Cristin Milioti, J.K. Simmons"
Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick"
Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish"
Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton"
John Landis,"John Belushi, Karen Allen, Tom Hulce"
David Cronenberg,"Viggo Mortensen, Maria Bello, Ed Harris"
Michael Engler,"Stephen Campbell Moore, Michael Fox, Lesley Nicol"
Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt"
Christopher McQuarrie,"Tom Cruise, Rebecca Ferguson, Jeremy Renner"
Ben Affleck,"Matt Damon, Jason Bateman, Ben Affleck"
Jason Reitman,"Elliot Page, Michael Cera, Jennifer Garner"
Jang Hang-jun,"Kang Ha-neul, Yoo In-soo, Yeon Jae-hyeong"
Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving"
Sean Wang,"Izaac Wang, Joan Chen, Shirley Chen"
Shekhar Kapur,"Cate Blanchett, Liz Giles, Rod Culbertson"
Jon Gunn,"Hilary Swank, Alan Ritchson, Emily Mitchell"
Aaron Sorkin,"Jessica Chastain, Idris Elba, Kevin Costner"
Na Hong-jin,"Jun Kunimura, Hwang Jung-min, Kwak Do-won"
Paul Thomas Anderson,"Vicky Krieps, Daniel Day-Lewis, Lesley Manville"
Steven Spielberg,"Tom Hanks, Catherine Zeta-Jones, Chi McBride"
Joe Wright,"Gary Oldman, Lily James, Kristin Scott Thomas"
Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund"
Anh Hung Tran,"Juliette Binoche, Benoît Magimel, Emmanuel Salinger"
Sam Raimi,"Bruce Campbell, Ellen Sandweiss, Richard DeManincor"
Larry Charles,"Sacha Baron Cohen, Ken Davitian, Luenell"
Jon S. Baird,"Taron Egerton, Mara Huf, Miles Barrow"
Martin Ritt,"Paul Newman, Fredric March, Richard Boone"
Simon Curtis,"Hugh Bonneville, Jim Carter, Michelle Dockery"
"Rémy Belvaux, André Bonzel, Benoît Poelvoorde","Benoît Poelvoorde, Jacqueline Poelvoorde-Pappaert, Nelly Pappaert"
Bryan Singer,"Patrick Stewart, Hugh Jackman, Halle Berry"
Tobe Hooper,"Marilyn Burns, Edwin Neal, Allen Danziger"
Mark Dindal,"David Spade, John Goodman, Eartha Kitt"
Richard Attenborough,"Sean Connery, Ryan O'Neal, Michael Caine"
George Lucas,"Richard Dreyfuss, Ron Howard, Paul Le Mat"
George Stevens,"Millie Perkins, Shelley Winters, Joseph Schildkraut"
David Dobkin,"Robert Downey Jr., Robert Duvall, Vera Farmiga"
Lexi Alexander,"Elijah Wood, Charlie Hunnam, Claire Forlani"
James L. Brooks,"Shirley MacLaine, Debra Winger, Jack Nicholson"
Peter Weir,"Harrison Ford, Kelly McGillis, Lukas Haas"
Lawrence Kasdan,"William Hurt, Kathleen Turner, Richard Crenna"
Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman"
Adrian Lyne,"Tim Robbins, Elizabeth Peña, Danny Aiello"
Dean DeBlois,"Jay Baruchel, America Ferrera, F. Murray Abraham"
John Carney,"Keira Knightley, Mark Ruffalo, Adam Levine"
Vincent Gallo,"Vincent Gallo, Christina Ricci, Ben Gazzara"
Frank Oz,"Steve Martin, Michael Caine, Glenne Headly"
"Jaume Balagueró, Paco Plaza","Manuela Velasco, Ferran Terraza, Jorge-Yamam Serrano"
Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn"
Tony Scott,"Gene Hackman, Denzel Washington, Matt Craven"
John Curran,"Naomi Watts, Edward Norton, Liev Schreiber"
"Nat Faxon, Jim Rash","Steve Carell, Toni Collette, Allison Janney"
Volker Schlöndorff,"David Bennent, Mario Adorf, Angela Winkler"
Lee Chang-dong,"Yoo Ah-in, Steven Yeun, Jeon Jong-seo"
Guy Ritchie,"Robert Downey Jr., Jude Law, Jared Harris"
Michelangelo Antonioni,"David Hemmings, Vanessa Redgrave, Sarah Miles"
Brian De Palma,"John Travolta, Nancy Allen, John Lithgow"
Jonah Hill,"Sunny Suljic, Katherine Waterston, Lucas Hedges"
Jason Reitman,"George Clooney, Vera Farmiga, Anna Kendrick"
Barry Levinson,"Robert Redford, Robert Duvall, Glenn Close"
Stephen Frears,"John Cusack, Iben Hjejle, Todd Louiso"
Jacques Audiard,"Marion Cotillard, Matthias Schoenaerts, Armand Verdure"
Michael Mann,"James Caan, Tuesday Weld, Willie Nelson"
Philip Kaufman,"Donald Sutherland, Brooke Adams, Jeff Goldblum"
Don Bluth,"Pat Hingle, Gabriel Damon, Helen Shaver"
"Ethan Coen, Joel Coen","Oscar Isaac, Carey Mulligan, John Goodman"
"Tod Browning, Karl Freund","Bela Lugosi, Helen Chandler, David Manners"
Kevin Costner,"Kevin Costner, Robert Duvall, Diego Luna"
Lasse Hallström,"Tobey Maguire, Charlize Theron, Michael Caine"
Ilker Çatak,"Leonie Benesch, Anne-Kathrin Gummich, Rafael Stachowiak"
"Tim Burton, Mike Johnson","Johnny Depp, Helena Bonham Carter, Emily Watson"
Zach Braff,"Zach Braff, Peter Sarsgaard, Natalie Portman"
Lee Isaac Chung,"Steven Yeun, Han Ye-ri, Alan Kim"
Niki Caro,"Kevin Costner, Maria Bello, Ramiro Rodriguez"
Terrence Malick,"August Diehl, Valerie Pachner, Maria Simon"
Clint Eastwood,"Clint Eastwood, Verna Bloom, Marianna Hill"
Gregory Hoblit,"Dennis Quaid, Jim Caviezel, Shawn Doyle"
Sam Peckinpah,"Dustin Hoffman, Susan George, Peter Vaughan"
Ric Roman Waugh,"Stephen Dorff, Marisol Nichols, Vincent Miller"
Gary Sinise,"John Malkovich, Gary Sinise, Ray Walston"
Dan Scanlon,"Tom Holland, Chris Pratt, Julia Louis-Dreyfus"
Carol Reed,"Mark Lester, Ron Moody, Shani Wallis"
Christopher Nolan,"Jeremy Theobald, Alex Haw, Lucy Russell"
Richard Eyre,"Cate Blanchett, Judi Dench, Andrew Simpson"
Kirsten Sheridan,"Freddie Highmore, Keri Russell, Jonathan Rhys Meyers"
Peter Yates,"Steve McQueen, Jacqueline Bisset, Robert Vaughn"
Sam Raimi,"Bruce Campbell, Embeth Davidtz, Marcus Gilbert"
Roland Joffé,"Robert De Niro, Jeremy Irons, Ray McAnally"
Milos Forman,"Jim Carrey, Danny DeVito, Gerry Becker"
John Schlesinger,"Dustin Hoffman, Laurence Olivier, Roy Scheider"
Sydney Pollack,"Robert Redford, Faye Dunaway, Cliff Robertson"
Sydney Pollack,"Dustin Hoffman, Jessica Lange, Teri Garr"
Rahul Dholakia,"Pratik Gandhi, Divyendu Sharma, Jitendra Joshi"
Alfred Hitchcock,"Cary Grant, Grace Kelly, Jessie Royce Landis"
Gail Mancuso,"Josh Gad, Dennis Quaid, Kathryn Prescott"
Oriol Paulo,"Adriana Ugarte, Chino Darín, Javier Gutiérrez"
John Michael McDonagh,"Brendan Gleeson, Chris O'Dowd, Kelly Reilly"
Noah Baumbach,"Greta Gerwig, Mickey Sumner, Adam Driver"
Taylor Hackford,"Kathy Bates, Jennifer Jason Leigh, Christopher Plummer"
Philippe Falardeau,"Reese Witherspoon, Arnold Oceng, Ger Duany"
J.A. Bayona,"Belén Rueda, Fernando Cayo, Roger Príncep"
Alfred Hitchcock,"Jon Finch, Barry Foster, Barbara Leigh-Hunt"
Christopher Guest,"Christopher Guest, Fred Willard, Catherine O'Hara"
Peter Weir,"Rachel Roberts, Anne-Louise Lambert, Vivean Gray"
William Wyler,"Barbra Streisand, Omar Sharif, Kay Medford"
James Merendino,"Matthew Lillard, Michael A. Goorjian, Annabeth Gish"
Ridley Scott,"Keith Carradine, Harvey Keitel, Albert Finney"
Rob Reiner,"Jack Nicholson, Morgan Freeman, Sean Hayes"
Norman Jewison,"Al Pacino, Jack Warden, John Forsythe"
Henry Hathaway,"John Wayne, Kim Darby, Glen Campbell"
James Ivory,"Anthony Hopkins, Emma Thompson, Vanessa Redgrave"
David Anspaugh,"Gene Hackman, Barbara Hershey, Dennis Hopper"
Bob Rafelson,"Jack Nicholson, Karen Black, Billy Green Bush"
Alfred Hitchcock,"James Stewart, Doris Day, Brenda de Banzie"
Carroll Ballard,"Kelly Reno, Mickey Rooney, Teri Garr"
Shaka King,"LaKeith Stanfield, Daniel Kaluuya, Jesse Plemons"
Wong Kar-Wai,"Tony Leung Chiu-wai, Ziyi Zhang, Faye Wong"
Bang Woo-ri,"Kim Yoo-jung, Byeon Woo-seok, Park Jung-woo"
Iain Softley,"Kevin Spacey, Jeff Bridges, Mary McCormack"
J.A. Bayona,"Lewis MacDougall, Sigourney Weaver, Felicity Jones"
Makoto Shinkai,"Miyu Irino, Kana Hanazawa, Fumi Hirano"
Todd Solondz,"Heather Matarazzo, Christina Brucato, Victoria Davis"
Bille August,"Liam Neeson, Geoffrey Rush, Uma Thurman"
Karan Johar,"Shah Rukh Khan, Kajol, Amitabh Bachchan"
Alejandro G. Iñárritu,"Javier Bardem, Maricel Álvarez, Hanaa Bouchaib"
Norman Jewison,"Ted Neeley, Carl Anderson, Yvonne Elliman"
Todd Field,"Tom Wilkinson, Sissy Spacek, Nick Stahl"
Peter Weir,"Mel Gibson, Mark Lee, Bill Kerr"
John Sayles,"Chris Cooper, Elizabeth Peña, Stephen Mendillo"
Bernard Rose,"Gary Oldman, Jeroen Krabbé, Isabella Rossellini"
Baran bo Odar,"Tom Schilling, Elyas M'Barek, Wotan Wilke Möhring"
Pedro Almodóvar,"Gael García Bernal, Fele Martínez, Javier Cámara"
Scott Sanders,"Michael Jai White, Arsenio Hall, Tommy Davidson"
Robert Wise,"Julie Harris, Claire Bloom, Richard Johnson"
Audrey Diwan,"Anamaria Vartolomei, Kacey Mottet Klein, Luàna Bajrami"
Michael Gordon,"Rock Hudson, Doris Day, Tony Randall"
Robert Benton,"Sally Field, Lindsay Crouse, Ed Harris"
Alfred Hitchcock,"Henry Fonda, Vera Miles, Anthony Quayle"
Dee Rees,"Jason Mitchell, Carey Mulligan, Jason Clarke"
Leo McCarey,"Cary Grant, Deborah Kerr, Richard Denning"
John G. Avildsen,"Morgan Freeman, Beverly Todd, Robert Guillaume"
Mike Binder,"Adam Sandler, Don Cheadle, Jada Pinkett Smith"
Doug Atchison,"Angela Bassett, Laurence Fishburne, Keke Palmer"
Guillermo del Toro,"Marisa Paredes, Eduardo Noriega, Federico Luppi"
Sam Peckinpah,"James Coburn, Maximilian Schell, James Mason"
Atom Egoyan,"Ian Holm, Sarah Polley, Caerthan Banks"
Walter Lang,"Yul Brynner, Deborah Kerr, Rita Moreno"
Mark Rydell,"John Wayne, Roscoe Lee Browne, Bruce Dern"
Georges Lautner,"Jean-Paul Belmondo, Jean Desailly, Cyrielle Clair"
George Clooney,"David Strathairn, George Clooney, Patricia Clarkson"
Mervyn LeRoy,"Nancy Kelly, Patty McCormack, Gage Clarke"
David Swift,"Jane Wyman, Hayley Mills, Richard Egan"
Jean-Luc Godard,"Brigitte Bardot, Jack Palance, Michel Piccoli"
Blake Edwards,"Peter Sellers, Claudine Longet, Natalia Borisova"
Gaspar Noé,"Dario Argento, Françoise Lebrun, Alex Lutz"
Patrice Chéreau,"Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade"
Imtiaz Ali,"Deepika Padukone, Ranbir Kapoor, Naila Grrewal"
Steven Zaillian,"Joe Mantegna, Ben Kingsley, Max Pomeranc"
Jay Roach,"Bryan Cranston, Diane Lane, Helen Mirren"
Bill Pohlad,"John Cusack, Paul Dano, Elizabeth Banks"
Armando Iannucci,"Tom Hollander, Peter Capaldi, James Gandolfini"
James Bridges,"Jane Fonda, Jack Lemmon, Michael Douglas"
Jean-Luc Godard,"Jean-Paul Belmondo, Anna Karina, Graziella Galvani"
Tushar Hiranandani,"Rajkummar Rao, Jyotika, Alaya F"
Carlos López Estrada,"Daveed Diggs, Rafael Casal, Janina Gavankar"
Wong Kar-Wai,"Leslie Cheung, Maggie Cheung, Andy Lau"
Mike Mills,"Joaquin Phoenix, Gaby Hoffmann, Woody Norman"
Vadim Perelman,"Nahuel Pérez Biscayart, Lars Eidinger, Jonas Nay"
Luchino Visconti,"Dirk Bogarde, Ingrid Thulin, Helmut Griem"
John Woo,"Lung Ti, Leslie Cheung, Chow Yun-Fat"
Céline Sciamma,"Joséphine Sanz, Gabrielle Sanz, Nina Meurisse"
Lukas Moodysson,"Lisa Lindgren, Michael Nyqvist, Emma Samuelsson"
Burt Kennedy,"James Garner, Joan Hackett, Walter Brennan"
Keishi Otomo,"Takeru Satoh, Emi Takei, Yû Aoi"
Sally El Hosaini,"Matthias Schweighöfer, Ali Suliman, James Krishna Floyd"
Jim Jarmusch,"John Lurie, Eszter Balint, Richard Edson"
Gorô Miyazaki,"Sarah Bolger, Chris Noth, Anton Yelchin"
Woody Allen,"John Cusack, Dianne Wiest, Jennifer Tilly"
Yuen Woo-Ping,"Jackie Chan, Siu-Tin Yuen, Jeong-lee Hwang"
Carl Theodor Dreyer,"Julian West, Maurice Schutz, Rena Mandel"
Alejandro Amenábar,"Ana Torrent, Fele Martínez, Eduardo Noriega"
Christoffer Boe,"Nikolaj Lie Kaas, Fares Fares, Johanne Louise Schmidt"
David Lean,"Robert Mitchum, Trevor Howard, John Mills"
Liev Schreiber,"Elijah Wood, Eugene Hutz, Boris Lyoskin"
Percy Adlon,"Marianne Sägebrecht, CCH Pounder, Jack Palance"
Jan Svankmajer,"Kristýna Kohoutová, Camilla Power"
Enzo Barboni,"Terence Hill, Bud Spencer, Steffen Zacharias"
