Index,Title,Year,Rating,Length (minutes),Rating Amount,Group,Metascore,Short Description
150,150. The Salt of the Earth,2014,8.4,110,24000,PG-13,83,"The life and work of photographer Sebastião Salgado, who has spent forty years documenting societies in hidden corners of the world."
151,151. The Cove,2009,8.4,92,52000,PG-13,84,"Using state-of-the-art equipment, a group of activists, led by renowned dolphin trainer Ric O'Barry, infiltrate a cove near Taijii, Japan to expose both a shocking instance of animal abuse and a serious threat to human health."
152,152. The Pinchcliffe Grand Prix,1975,8.4,88,15000,G,N/A,Reodor Felgen decides that he will enter a car race to defeat his former friend who has stolen his plans for a car.
153,153. Asuran,2019,8.4,141,35000,N/A,N/A,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
154,154. Sansho the Bailiff,1954,8.4,124,19000,Not Rated,96,"In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression."
155,155. Black Friday,2004,8.4,143,22000,Not Rated,76,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen."
156,156. The Lizard,2004,8.4,115,23000,N/A,N/A,A recently jailed petty thief disguises as a Mullah and succeeds in escaping; but has to stay in the Mullah' role longer than he expected to.
157,157. Vada Chennai,2018,8.4,164,21000,N/A,N/A,A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.
158,158. Philanthropy,2002,8.4,110,14000,N/A,N/A,"Ovidiu, a high-school teacher looking for an extra buck, finds an unexpected way to earn easy money."
159,159. The World of Apu,1959,8.4,105,17000,Not Rated,N/A,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.
160,160. Drishyam 2,2021,8.4,152,42000,N/A,N/A,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
161,161. Attack on Titan: Chronicle,2020,8.4,122,12000,N/A,N/A,A recap of the popular anime series Shingeki no Kyojin from seasons 1-3.
162,162. Visaaranai,2015,8.4,117,13000,N/A,N/A,Four labourers are tortured by the police to confess to a theft they have not committed.
163,163. Thani Oruvan,2015,8.4,160,22000,Not Rated,N/A,"Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him."
164,164. Operation 'Y' & Other Shurik's Adventures,1965,8.4,95,15000,TV-G,N/A,"Three stories about Shurik - a young student. He fights against criminals, falls in love, confuses apartments, passes exams - he lives after all."
165,165. Mr. Muhsin,1987,8.4,119,12000,N/A,N/A,"Ingenuous countryman Ali Nazik moves to Istanbul, expecting help to become a famous singer, he finds Muhsin Kanadikirik, a fading music producer."
166,166. Mahanati,2018,8.4,177,15000,Not Rated,N/A,"Biography of Savitri, an actress from South India movie industry, who ruled the industry for two decades during 50s and 60s."
167,"167. When I Grow Up, I'll Be a Kangaroo",2004,8.4,92,12000,N/A,N/A,"During one peculiar night, the lives of several interconnected people are changed, as they rapidly experience love, disappointment, joy, greed and remorse."
168,168. Oppenheimer,2023,8.3,180,845000,R,90,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
169,169. Braveheart,1995,8.3,178,1100000,R,68,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
170,170. Heat,1995,8.3,170,744000,R,76,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
171,171. Requiem for a Dream,2000,8.3,102,927000,NC-17,71,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
172,172. Oldboy,2003,8.3,120,666000,R,78,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
173,173. Good Will Hunting,1997,8.3,126,1100000,R,71,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
174,174. Eternal Sunshine of the Spotless Mind,2004,8.3,108,1100000,R,89,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
175,175. Incendies,2010,8.3,131,220000,R,80,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
176,176. American Beauty,1999,8.3,122,1200000,R,84,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
177,177. Joker,2019,8.3,122,1600000,R,59,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
178,178. Come and See,1985,8.3,142,108000,Not Rated,N/A,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
179,179. Scarface,1983,8.3,170,950000,R,65,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction."
180,180. 2001: A Space Odyssey,1968,8.3,149,744000,G,84,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
181,181. The Hunt,2012,8.3,115,381000,R,77,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
182,182. Once Upon a Time in America,1984,8.3,229,390000,R,75,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
183,183. Reservoir Dogs,1992,8.3,99,1100000,R,81,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
184,184. Star Wars: Episode VI - Return of the Jedi,1983,8.3,131,1200000,PG,58,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
185,185. Hamilton,2020,8.3,160,124000,PG-13,88,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
186,186. Toy Story,1995,8.3,81,1100000,G,96,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
187,187. Lawrence of Arabia,1962,8.3,227,325000,PG,100,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
188,188. The Sting,1973,8.3,129,287000,PG,83,Two grifters team up to pull off the ultimate con.
189,189. Amélie,2001,8.3,122,812000,R,70,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love."
190,190. Toy Story 3,2010,8.3,103,920000,G,92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
191,191. Up,2009,8.3,96,1200000,PG,88,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."
192,192. Vertigo,1958,8.3,128,440000,PG,100,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
193,193. Metropolis,1927,8.3,153,192000,Not Rated,98,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
194,194. Princess Mononoke,1997,8.3,133,452000,PG-13,76,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
195,195. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,95,533000,PG,97,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
196,196. Citizen Kane,1941,8.3,119,477000,PG,100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
197,197. The Apartment,1960,8.3,125,206000,Approved,94,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
198,198. North by Northwest,1959,8.3,136,357000,Approved,98,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
199,199. Singin' in the Rain,1952,8.3,103,269000,G,99,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
200,200. To Kill a Mockingbird,1962,8.3,129,341000,Approved,88,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.
201,201. A Separation,2011,8.3,123,266000,PG-13,95,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
202,202. Viduthalai Part 2,2024,8.3,170,15000,N/A,N/A,"An unassuming school teacher faces extreme circumstances, forcing him to take up arms and lead a fiery rebellion against oppression, becoming an unlikely leader."
203,203. Ikiru,1952,8.3,143,94000,Not Rated,92,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
