Title,Year,Rating,Length (mins),Rating Amount,Group,Metascore,Short Description,Directors,Star 1,Star 2,Star 3,Genre 1,Genre 2,Genre 3
Apocalypse Now,0.5833333333333321,0.5263157894736836,0.17519685039370078,0.24247491638795987,X,0.9166666666666667,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,Quentin Tarantino,,,,,,
Das Boot,0.6018518518518512,0.5263157894736836,0.17913385826771652,0.08929765886287626,AA,0.7916666666666667,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,Claude Lanzmann,,,,,,
Spider-Man: Into the Spider-Verse,0.9444444444444429,0.5263157894736836,0.11614173228346458,0.23612040133779266,PG,0.8194444444444444,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Jonathan Demme,,,,,,
Amadeus,0.6296296296296298,0.5263157894736836,0.20078740157480315,0.1451505016722408,PG,0.8194444444444444,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",Madhavan,,,,,,
Your Name.,0.9259259259259238,0.5263157894736836,0.09448818897637795,0.11304347826086956,12A,0.7361111111111112,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",Kiranraj K,,,,,,
The Lives of Others,0.8333333333333321,0.5263157894736836,0.15551181102362208,0.13846153846153847,15,0.8472222222222221,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",Sudha Kongara,,,,,,
3 Idiots,0.8611111111111107,0.5263157894736836,0.22047244094488191,0.14816053511705687,12A,0.5416666666666666,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Slobodan Sijan,,,,,,
WALL·E,0.8518518518518512,0.5263157894736836,0.07874015748031496,0.3979933110367893,U,0.9305555555555556,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.","Dragan Bjelogrlic, Zoran Lisinac",,,,,,
Coco,0.9351851851851833,0.5263157894736836,0.09251968503937008,0.2096989966555184,PG,0.7361111111111112,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Ertem Egilmez,,,,,,
Capernaum,0.9444444444444429,0.5263157894736836,0.13385826771653545,0.034782608695652174,15,0.6527777777777777,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Mari Selvaraj,,,,,,
Sunset Blvd.,0.3148148148148131,0.5263157894736836,0.10236220472440946,0.07892976588628763,PG,0.9166666666666667,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Fazil,,,,,,
Witness for the Prosecution,0.37962962962962976,0.5263157894736836,0.11417322834645668,0.04581939799331104,U,0.6666666666666667,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Ertem Egilmez,,,,,,
Paths of Glory,0.37962962962962976,0.5263157894736836,0.05905511811023623,0.07157190635451506,PG,0.8611111111111112,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,David Fincher,,,,,,
High and Low,0.43518518518518334,0.5263157894736836,0.1673228346456693,0.016053511705685617,12,0.8611111111111112,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,Jonathan Demme,,,,,,
Samsara,0.8796296296296298,0.5263157894736836,0.08661417322834647,0.009698996655518396,12A,0.5138888888888888,"Filmed over nearly five years in twenty-five countries on five continents, and shot on seventy-millimetre film, Samsara transports us to the varied worlds of sacred grounds, disaster zones, industrial complexes, and natural wonders.",Frank Darabont,,,,,,
